quantization_bits,ldpc_code_rate,qam_order,snr_db,rows,avg_ber,avg_bler,avg_semantic_score,avg_recovered_accuracy
8,0.5,256,-10.0,12,0.45715871175130207,1.0,0.08719850269456701,0.15180833333333332
8,0.5,256,-5.0,12,0.4086192423502604,1.0,0.1204872777064641,0.17926666666666666
8,0.5,256,0.0,12,0.3246137532552083,1.0,0.1506555378437042,0.20523333333333335
8,0.5,256,5.0,12,0.27412183634440107,1.0,0.2239961872498194,0.278
8,0.5,256,10.0,12,0.19348248697916667,1.0,0.29093443105618155,0.33055833333333334
8,0.5,256,15.0,12,0.041464463297526045,0.7572681010388651,0.2908505747715632,0.2896666666666667
8,0.5,256,20.0,12,5.322265625e-06,0.00028015082001788336,0.9875498364369074,0.5896666666666667
8,0.6666666666666666,4,-10.0,12,0.3758756632486979,1.0,0.006751214231674817,0.10093333333333333
8,0.6666666666666666,4,-5.0,12,0.28643168945312497,1.0,0.012010708916932308,0.10286666666666666
8,0.6666666666666666,4,0.0,12,0.14973441365559895,1.0,0.02603304199874396,0.10810833333333332
8,0.6666666666666666,4,5.0,12,5.5971272786458335e-05,0.004553604387491383,0.9695450117190679,0.5792666666666667
8,0.6666666666666666,4,10.0,12,0.0,0.0,0.9884499460458755,0.590175
8,0.6666666666666666,4,15.0,12,0.0,0.0,0.9884499460458755,0.590175
8,0.6666666666666666,4,20.0,12,0.0,0.0,0.9884499460458755,0.590175
8,0.6666666666666666,16,-10.0,12,0.43685136922200524,1.0,0.0744150355458259,0.13705
8,0.6666666666666666,16,-5.0,12,0.3798621907552083,1.0,0.10602377913892264,0.16213333333333332
8,0.6666666666666666,16,0.0,12,0.2826169820149739,1.0,0.13189318776130673,0.18441666666666667
8,0.6666666666666666,16,5.0,12,0.15654786580403646,1.0,0.1269274068375428,0.18000833333333333
8,0.6666666666666666,16,10.0,12,0.0022313924153645835,0.0978528362249292,0.5849175006151199,0.366775
8,0.6666666666666666,16,15.0,12,0.0,0.0,0.9884499460458755,0.590175
8,0.6666666666666666,16,20.0,12,0.0,0.0,0.9884499460458755,0.590175
8,0.6666666666666666,64,-10.0,12,0.4531451395670573,1.0,0.02563643874600525,0.098925
8,0.6666666666666666,64,-5.0,12,0.40753571166992186,1.0,0.025609476647029273,0.09854166666666665
8,0.6666666666666666,64,0.0,12,0.3303336181640625,1.0,0.03048418120791509,0.0954
8,0.6666666666666666,64,5.0,12,0.25665863037109377,1.0,0.022640008945017998,0.09953333333333332
8,0.6666666666666666,64,10.0,12,0.14488151041666666,1.0,0.03798321851839618,0.1092
8,0.6666666666666666,64,15.0,12,0.007343668619791667,0.2669048497952152,0.24732210735479987,0.194825
8,0.6666666666666666,64,20.0,12,8.138020833333333e-08,3.5156181335583335e-06,0.9884374092022578,0.5901666666666666
8,0.6666666666666666,256,-10.0,12,0.4589402038574219,1.0,0.08595683425664898,0.151175
8,0.6666666666666666,256,-5.0,12,0.4118919799804688,1.0,0.11911349371075626,0.17905833333333332
8,0.6666666666666666,256,0.0,12,0.3273820861816406,1.0,0.14776509130994475,0.20013333333333336
8,0.6666666666666666,256,5.0,12,0.27397620646158855,1.0,0.2175887823104858,0.269425
8,0.6666666666666666,256,10.0,12,0.22777096354166668,1.0,0.3069524715344111,0.33889166666666665
8,0.6666666666666666,256,15.0,12,0.12488279418945313,1.0,0.34390254815419513,0.3542166666666667
8,0.6666666666666666,256,20.0,12,0.005587896728515625,0.22167905922058742,0.579577624797821,0.36575833333333335
8,0.75,4,-10.0,12,0.3759098571777344,1.0,0.0066732215151811165,0.10204999999999999
8,0.75,4,-5.0,12,0.2869035929361979,1.0,0.012178302820151,0.104325
8,0.75,4,0.0,12,0.15651333211263022,1.0,0.024314245829979552,0.104825
8,0.75,4,5.0,12,0.0011477579752604166,0.06786208669514314,0.7030006349086761,0.4320333333333333
8,0.75,4,10.0,12,0.0,0.0,0.9884499460458755,0.590175
8,0.75,4,15.0,12,0.0,0.0,0.9884499460458755,0.590175
8,0.75,4,20.0,12,0.0,0.0,0.9884499460458755,0.590175
8,0.75,16,-10.0,12,0.4368777262369792,1.0,0.07445551206668215,0.13846666666666665
8,0.75,16,-5.0,12,0.3800489461263021,1.0,0.10601994208991522,0.16323333333333334
8,0.75,16,0.0,12,0.28333111368815106,1.0,0.13201603852212426,0.18595833333333334
8,0.75,16,5.0,12,0.16253297526041666,1.0,0.1270907701303561,0.18003333333333335
8,0.75,16,10.0,12,0.02461697184244792,0.7411436086062332,0.13118043169379232,0.15645
8,0.75,16,15.0,12,6.1035156249999995e-09,9.88767600063281e-07,0.9884442289670309,0.5901833333333334
8,0.75,16,20.0,12,0.0,0.0,0.9884499460458755,0.590175
8,0.75,64,-10.0,12,0.45363810221354167,1.0,0.025612482335418393,0.10015833333333334
8,0.75,64,-5.0,12,0.408438124593099,1.0,0.025697649456560553,0.097175
8,0.75,64,0.0,12,0.33165003051757813,1.0,0.03080954961478706,0.09697499999999999
8,0.75,64,5.0,12,0.2598473286946615,1.0,0.022613236680626824,0.10001666666666666
8,0.75,64,10.0,12,0.1541276631673177,1.0,0.03618392720818514,0.10650833333333333
8,0.75,64,15.0,12,0.04188395385742188,0.9551593893371302,0.06754822283983226,0.11864166666666666
8,0.75,64,20.0,12,3.5603841145833335e-07,4.5483309602910933e-05,0.9882855763038,0.590125
8,0.75,256,-10.0,12,0.46115242309570315,1.0,0.04509540585180119,0.11168333333333334
8,0.75,256,-5.0,12,0.41824358927408856,1.0,0.05341276184966162,0.1159
8,0.75,256,0.0,12,0.34225234375,1.0,0.05740632923940812,0.11375833333333334
8,0.75,256,5.0,12,0.2881431925455729,1.0,0.07583445931474363,0.12923333333333334
8,0.75,256,10.0,12,0.23763839518229166,1.0,0.12251263049741583,0.1795
8,0.75,256,15.0,12,0.14041888020833335,1.0,0.13377782454093293,0.18289999999999998
8,0.75,256,20.0,12,0.040297715250651046,0.9328735563993039,0.11807224589089549,0.1515
