encoder_depth,quantization_bits,snr_db,rows,avg_ber,avg_bler,avg_semantic_score,avg_recovered_accuracy
3,4,5.0,12,0.16876121419270831,0.7561721032110437,0.2316612948973973,0.16365
3,4,10.0,12,0.0884673095703125,0.5691378418942342,0.329969863096873,0.19495833333333334
3,4,15.0,12,0.028414440917968752,0.32050774141738153,0.4440051466226578,0.22133333333333335
3,4,20.0,12,0.0035284383138020833,0.08501187206327458,0.5186465506752332,0.23196666666666665
3,8,-10.0,12,0.43001331990559893,1.0,0.04324025435683623,0.10881666666666667
3,8,-5.0,12,0.36973143717447915,1.0,0.05743009255578115,0.11349999999999999
3,8,0.0,12,0.2684025634765625,0.9999841797183989,0.07387014664709564,0.11691666666666667
3,8,5.0,12,0.16811511840820312,0.755935132450913,0.2971022926891843,0.174175
3,8,10.0,12,0.08910571899414062,0.5679114152120797,0.45463210127005965,0.21682500000000002
3,8,15.0,12,0.029515093994140623,0.3316426506002918,0.6584705623487631,0.26776666666666665
3,8,20.0,12,0.0037557454427083335,0.09508604475381884,0.8815029890586931,0.3186
4,2,-10.0,12,0.43642602539062497,1.0,0.06380499061197038,0.11768333333333332
4,2,-5.0,12,0.38468373209635415,1.0,0.09997497002283728,0.13336666666666666
4,2,0.0,12,0.2981520914713542,0.9999762695775986,0.15904212246338523,0.15729166666666666
4,2,5.0,12,0.18364218750000003,0.7559550133278176,0.25772741685310996,0.204
4,2,10.0,12,0.09011484375,0.5681123745979278,0.33951882397135097,0.24535833333333334
4,2,15.0,12,0.028272566731770837,0.28896003010035937,0.4127561425169309,0.27743333333333337
4,2,20.0,12,0.002783740234375,0.0805150008447628,0.44618771225214,0.2919
4,4,-10.0,12,0.4318032307942708,1.0,0.051418085272113424,0.11349166666666666
4,4,-5.0,12,0.3721636189778646,1.0,0.07272382453083988,0.11970833333333332
4,4,0.0,12,0.27238601888020836,0.9999789062911987,0.10183186115076139,0.12801666666666667
4,4,5.0,12,0.16880602213541665,0.7557875821810592,0.24553619852910435,0.182275
4,4,10.0,12,0.08852683919270833,0.5698284373864347,0.3493159556140502,0.223575
4,4,15.0,12,0.0284015625,0.3199804010888995,0.47010982284943265,0.26561666666666667
4,4,20.0,12,0.0035435221354166665,0.08537837102676937,0.5481783288220564,0.2904583333333333
4,8,-10.0,12,0.430603623453776,1.0,0.04510067449882621,0.1087
4,8,-5.0,12,0.3704267557779948,1.0,0.0600493472690383,0.11225
4,8,0.0,12,0.269352480061849,0.9999861572535992,0.07690155164649086,0.11641666666666667
4,8,5.0,12,0.16873288370768227,0.7560666385417215,0.3009383709480365,0.1914583333333333
4,8,10.0,12,0.08927459513346354,0.5683098885549052,0.45759131790449215,0.24254166666666666
4,8,15.0,12,0.029576849365234376,0.33132767318813827,0.6625029413650433,0.3104166666666666
4,8,20.0,12,0.0037861531575520834,0.09562942748158694,0.8818566544602313,0.3805
5,2,-10.0,12,0.43649117024739587,1.0,0.06506056121240054,0.11978333333333334
5,2,-5.0,12,0.38465408528645834,1.0,0.10311194323003288,0.13600833333333331
5,2,0.0,12,0.298153369140625,0.9999762695775986,0.16439612954854962,0.16455833333333333
5,2,5.0,12,0.18329156087239584,0.7564542315106443,0.2671184241771698,0.216125
5,2,10.0,12,0.09006286621093751,0.5671552549025742,0.35279251759250957,0.26115
5,2,15.0,12,0.028268782552083333,0.28916613302804767,0.42945392429828644,0.29969166666666663
5,2,20.0,12,0.0027715657552083335,0.08054576265174472,0.46505653361479443,0.3182916666666667
5,4,-10.0,12,0.43143745117187504,1.0,0.05199065680305159,0.11315000000000001
5,4,-5.0,12,0.37199893391927086,1.0,0.07382220852499202,0.123075
5,4,0.0,12,0.27214190266927085,0.9999881347887992,0.10243179555982347,0.13169166666666668
5,4,5.0,12,0.16870361735026043,0.7560776207883128,0.24413605779409406,0.194025
5,4,10.0,12,0.08845581461588542,0.5693316382303824,0.346213610842824,0.23946666666666663
5,4,15.0,12,0.028389176432291663,0.3200390668541536,0.4649885694185893,0.288225
5,4,20.0,12,0.0035161417643229166,0.08494902920263092,0.5420574160913626,0.3202333333333333
5,8,-10.0,12,0.4306273396809896,1.0,0.04586519258252028,0.11065000000000001
5,8,-5.0,12,0.37054253743489585,1.0,0.0615552508582671,0.11494166666666666
5,8,0.0,12,0.2696553975423177,0.9999854980751991,0.07857348335285975,0.12135833333333335
5,8,5.0,12,0.16909196166992188,0.7560329105802528,0.30323541257530445,0.212575
5,8,10.0,12,0.08935691935221353,0.5687263794406652,0.45976272380600375,0.2787
5,8,15.0,12,0.02965287068684896,0.33169714268136197,0.6644880299766859,0.3627833333333334
5,8,20.0,12,0.003814959716796875,0.0960878860588163,0.882225257034103,0.45416666666666666
6,2,-10.0,12,0.435483544921875,1.0,0.06865887747456625,0.12168333333333332
6,2,-5.0,12,0.38400738118489586,1.0,0.10879076272249218,0.13816666666666666
6,2,0.0,12,0.2979776123046875,0.9999762695775986,0.1730737189451853,0.16445
6,2,5.0,12,0.18266022949218752,0.7560582847588041,0.285017533848683,0.21005
6,2,10.0,12,0.08938784179687502,0.5636791941841947,0.37775109832485515,0.24853333333333336
6,2,15.0,12,0.027350887044270838,0.2843545706420246,0.46042883147795993,0.28475833333333334
